"Date";"Open";"High";"Low";"Close";"Currency"
"2021-07-19";1.1804;1.1825;1.1764;1.18;"USD"
"2021-07-16";1.1812;1.1824;1.1791;1.1805;"USD"
"2021-07-15";1.1837;1.1851;1.1797;1.181;"USD"
"2021-07-14";1.1779;1.1841;1.1771;1.1838;"USD"
"2021-07-13";1.1862;1.1877;1.1772;1.1776;"USD"
"2021-07-12";1.1876;1.1882;1.1836;1.1863;"USD"
"2021-07-09";1.1846;1.1883;1.1825;1.1879;"USD"
"2021-07-08";1.1789;1.1868;1.1784;1.1847;"USD"
"2021-07-07";1.1825;1.184;1.1782;1.1791;"USD"
"2021-07-06";1.1864;1.1897;1.1807;1.1823;"USD"
"2021-07-05";1.1865;1.1883;1.185;1.1864;"USD"
"2021-07-02";1.1849;1.1876;1.1808;1.1865;"USD"
"2021-07-01";1.1857;1.1885;1.1838;1.1851;"USD"
"2021-06-30";1.1897;1.1911;1.1845;1.1858;"USD"
"2021-06-29";1.1927;1.193;1.1879;1.1899;"USD"
"2021-06-28";1.1933;1.1946;1.1904;1.1924;"USD"
"2021-06-25";1.1934;1.1977;1.1926;1.1938;"USD"
"2021-06-24";1.1927;1.1958;1.1919;1.193;"USD"
"2021-06-23";1.1943;1.1971;1.1912;1.1926;"USD"
"2021-06-22";1.1918;1.1953;1.1881;1.1944;"USD"
"2021-06-21";1.1859;1.1923;1.1847;1.192;"USD"
"2021-06-18";1.1907;1.1927;1.1848;1.1864;"USD"
"2021-06-17";1.1994;1.2007;1.1892;1.1906;"USD"
"2021-06-16";1.2126;1.2136;1.1994;1.1997;"USD"
"2021-06-15";1.2122;1.2148;1.2103;1.2127;"USD"
"2021-06-14";1.2106;1.2131;1.2094;1.212;"USD"
"2021-06-11";1.2172;1.2195;1.2092;1.211;"USD"
"2021-06-10";1.2182;1.2194;1.2145;1.2176;"USD"
"2021-06-09";1.2173;1.222;1.217;1.218;"USD"
"2021-06-08";1.219;1.2195;1.2165;1.2172;"USD"
"2021-06-07";1.2167;1.2204;1.2145;1.2189;"USD"
"2021-06-04";1.2128;1.2186;1.2104;1.2167;"USD"
"2021-06-03";1.221;1.2216;1.2119;1.2127;"USD"
"2021-06-02";1.2214;1.2228;1.2165;1.2212;"USD"
"2021-06-01";1.2228;1.2255;1.2211;1.2215;"USD"
"2021-05-31";1.2193;1.2232;1.2184;1.2227;"USD"
"2021-05-28";1.2194;1.2207;1.2132;1.2194;"USD"
"2021-05-27";1.2192;1.2216;1.2174;1.2193;"USD"
"2021-05-26";1.2252;1.2265;1.2183;1.2194;"USD"
"2021-05-25";1.2217;1.2268;1.2211;1.2251;"USD"
"2021-05-24";1.2182;1.223;1.2172;1.2216;"USD"
"2021-05-21";1.2228;1.2242;1.2162;1.2181;"USD"
